GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUCE001,ALUCE002,ALUCE003,ALUCE004,ALUCE005,ALUCE006,ALUCE007,ALUCE008,ALUCE009,ALUCE010,ALUKE001,ALUKE002,ALUKE003,ALUKE004,ALUKE005,ALUKE006,ALUKE007,ALUKE008,ALUKE009,ALUKE010,ALUKE011,ALUKE012,ALUKE013,ALUKE014,ALUKE015,ALUKE016,ALUKE017,ALUKE018,ALUKE019,ALUKE020,ALUKE021,NAME_M,ALUCM001,ALUCM002,ALUCM003,ALUCM004,ALUCM005,ALUCM006,ALUCM007,ALUCM008,ALUCM009,ALUCM010,ALUKM001,ALUKM002,ALUKM003,ALUKM004,ALUKM005,ALUKM006,ALUKM007,ALUKM008,ALUKM009,ALUKM010,ALUKM011,ALUKM012,ALUKM013,ALUKM014,ALUKM015,ALUKM016,ALUKM017,ALUKM018,ALUKM019,ALUKM020,ALUKM021
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",44055,36835,4041,361,195,0,1530,1093,98,995,44055,40598,35302,4041,39,195,0,43,978,11,967,3457,1533,0,322,0,0,1487,115,87,28,"Chilton County, Alabama",0,691,308,318,69,25,656,333,79,318,0,0,57,308,36,69,25,57,316,21,314,0,684,25,314,25,25,649,91,79,43
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",12925,7337,5500,8,17,0,12,51,0,51,12925,12872,7287,5500,8,17,0,9,51,0,51,53,50,0,0,0,0,3,0,0,0,"Choctaw County, Alabama",0,56,73,9,17,19,21,42,19,42,0,54,19,73,9,17,19,19,42,19,42,54,53,19,19,19,19,8,19,19,19
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",24128,12781,11044,26,104,0,0,173,0,173,24128,24049,12720,11044,26,104,0,0,155,0,155,79,61,0,0,0,0,0,18,0,18,"Clarke County, Alabama",0,55,122,28,26,22,22,104,22,104,0,62,22,122,28,26,22,22,112,22,112,62,55,22,22,22,22,22,25,22,25
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",13337,11092,2075,37,21,0,18,94,0,94,13337,12918,10717,2068,0,21,0,18,94,0,94,419,375,7,37,0,0,0,0,0,0,"Clay County, Alabama",0,69,76,64,27,19,24,67,19,67,0,0,19,78,19,27,19,24,67,19,67,0,69,15,64,19,19,19,19,19,19
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",14916,14000,410,14,3,0,198,291,8,283,14916,14549,13826,410,14,3,0,13,283,0,283,367,174,0,0,0,0,185,8,8,0,"Cleburne County, Alabama",0,111,105,20,9,19,112,108,15,107,0,0,26,105,20,9,19,26,107,19,107,0,109,19,19,19,19,110,15,15,19
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",51662,39118,8733,640,745,0,696,1730,31,1699,51662,47899,36239,8680,601,745,0,57,1577,9,1568,3763,2879,53,39,0,0,639,153,22,131,"Coffee County, Alabama",0,373,260,110,138,28,350,347,21,346,0,0,53,249,108,138,28,52,310,10,310,0,368,38,44,28,28,346,148,19,146
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",54771,43289,8872,319,259,51,866,1115,175,940,54771,53214,42830,8809,319,259,51,29,917,12,905,1557,459,63,0,0,0,837,198,163,35,"Colbert County, Alabama",0,205,235,147,51,44,230,296,136,265,0,0,32,225,147,51,44,26,255,18,253,0,200,64,28,28,28,230,143,133,56
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",12394,6287,5919,25,56,0,2,105,0,105,12394,12310,6203,5919,25,56,0,2,105,0,105,84,84,0,0,0,0,0,0,0,0,"Conecuh County, Alabama",0,122,171,38,45,19,4,100,19,100,0,122,4,171,38,45,19,4,100,19,100,122,122,19,19,19,19,19,19,19,19
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",10757,7078,3615,9,0,0,55,0,0,0,10757,10648,6970,3615,8,0,0,55,0,0,0,109,108,0,1,0,0,0,0,0,0,"Coosa County, Alabama",0,131,98,12,19,19,84,19,19,19,0,98,84,98,12,19,19,84,19,19,19,98,98,19,3,19,19,19,19,19,19
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",37200,31460,5018,22,184,34,66,416,0,416,37200,36571,30984,4981,22,142,34,5,403,0,403,629,476,37,0,42,0,61,13,0,13,"Covington County, Alabama",0,102,114,22,78,41,81,105,25,105,0,0,7,107,22,44,41,7,106,25,106,0,102,43,25,57,25,80,17,25,17
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",13844,9879,3228,97,175,9,22,434,5,429,13844,13734,9827,3202,92,175,9,0,429,0,429,110,52,26,5,0,0,22,5,5,0,"Crenshaw County, Alabama",0,32,200,36,11,14,30,192,7,192,0,64,19,206,35,11,14,19,192,19,192,64,32,36,7,19,19,30,7,7,19
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",82853,78804,1073,234,314,0,747,1681,173,1508,82853,79242,76129,1034,234,314,0,48,1483,73,1410,3611,2675,39,0,0,0,699,198,100,98,"Cullman County, Alabama",0,450,132,152,156,28,407,301,150,264,0,0,116,116,152,156,28,66,257,99,246,0,430,68,28,28,28,395,146,104,94
