GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,CG7001,CG7002,CG7003,CG7004,CG7005,CG7006,CG7007,CG7008,CG7009,CG7010,CG7011
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,,,"Autauga",446,393,266,336,388,468,393,428,233,65,19
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,,,"Baldwin",1745,1450,1208,1343,900,848,612,777,702,286,140
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,,,"Barbour",730,479,337,362,241,235,145,208,141,62,44
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,,,"Bibb",682,354,205,197,88,85,51,54,42,5,4
"G0100090","1970","Alabama","01","Blount","009",,,,,,,,,"Blount",701,601,420,416,285,204,124,131,89,19,9
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,,,"Bullock",431,290,129,95,58,57,40,54,24,12,8
"G0100130","1970","Alabama","01","Butler","013",,,,,,,,,"Butler",774,498,306,290,148,152,82,116,84,34,20
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,,,"Calhoun",2596,2819,2465,2201,1566,1532,1094,1178,726,298,162
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,,,"Chambers",1116,1412,921,788,556,455,290,253,218,78,30
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,,,"Cherokee",321,342,247,263,169,156,87,122,73,32,11
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,,,"Chilton",777,702,446,361,261,199,146,144,95,31,9
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,,,"Choctaw",771,353,230,189,133,126,80,107,78,32,7
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,,,"Clarke",1021,615,392,398,268,282,199,275,176,53,24
"G0100270","1970","Alabama","01","Clay","027",,,,,,,,,"Clay",401,289,164,140,92,57,57,73,35,12,1
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,,,"Cleburne",283,242,138,151,102,82,42,58,41,15,8
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,,,"Coffee",820,681,511,544,438,444,417,612,400,113,34
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,,,"Colbert",811,997,1288,1378,1177,1007,680,716,527,190,55
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,,,"Conecuh",761,406,191,187,88,109,51,53,26,13,3
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,,,"Coosa",329,279,171,128,64,63,36,37,23,3,3
"G0100390","1970","Alabama","01","Covington","039",,,,,,,,,"Covington",1519,1135,670,574,416,335,230,256,168,71,36
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,,,"Crenshaw",610,363,180,122,74,46,30,48,22,13,12
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,,,"Cullman",877,956,866,925,570,625,411,420,272,97,40
"G0100450","1970","Alabama","01","Dale","045",,,,,,,,,"Dale",653,531,448,508,461,610,483,532,285,70,32
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,,,"Dallas",696,750,680,742,578,615,456,512,375,154,86
"G0100490","1970","Alabama","01","DeKalb","049",,,,,,,,,"De Kalb",1328,1000,719,654,378,295,180,255,152,59,25
"G0100510","1970","Alabama","01","Elmore","051",,,,,"5240",,,,"Elmore",696,649,516,541,445,393,337,379,319,118,29
"G0100530","1970","Alabama","01","Escambia","053",,,,,,,,,"Escambia",1319,949,671,726,511,403,241,281,191,82,29
"G0100550","1970","Alabama","01","Etowah","055",,,,,"2880",,,,"Etowah",2397,2671,2781,2479,1777,1487,1019,1361,1013,357,131
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,,,"Fayette",602,375,247,230,136,121,58,102,79,44,19
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,,,"Franklin",781,575,429,470,322,274,149,150,105,39,9
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,,,"Geneva",772,633,467,453,337,219,117,112,86,25,7
"G0100630","1970","Alabama","01","Greene","063",,,,,,,,,"Greene",241,157,123,103,73,65,41,68,33,20,6
"G0100650","1970","Alabama","01","Hale","065",,,,,,,,,"Hale",505,241,184,183,90,74,52,69,57,18,7
"G0100670","1970","Alabama","01","Henry","067",,,,,,,,,"Henry",398,304,225,243,196,124,71,101,61,26,9
"G0100690","1970","Alabama","01","Houston","069",,,,,,,,,"Houston",916,1044,1227,1423,1231,1089,755,802,617,297,128
"G0100710","1970","Alabama","01","Jackson","071",,,,,,,,,"Jackson",1183,820,641,581,362,347,216,271,206,78,40
"G0100730","1970","Alabama","01","Jefferson","073",,,,,"1000",,,,"Jefferson",8343,12403,15909,18681,15457,13010,9244,11836,11090,4909,2305
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,,,"Lamar",441,335,226,201,131,140,55,80,42,15,3
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,,,"Lauderdale",1071,1307,1330,1525,1324,1356,1003,1224,962,446,113
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,,,"Lawrence",645,559,389,361,244,221,147,163,114,32,12
"G0100810","1970","Alabama","01","Lee","081",,,,,,,,,"Lee",645,761,722,693,483,617,506,827,936,420,125
"G0100830","1970","Alabama","01","Limestone","083",,,,,"3440",,,,"Limestone",676,725,673,682,607,557,400,424,293,100,34
"G0100850","1970","Alabama","01","Lowndes","085",,,,,,,,,"Lowndes",219,182,113,94,42,49,39,34,34,17,7
"G0100870","1970","Alabama","01","Macon","087",,,,,,,,,"Macon",509,455,325,376,230,275,148,199,161,77,12
"G0100890","1970","Alabama","01","Madison","089",,,,,"3440",,,,"Madison",999,1487,2060,3037,3161,4122,4001,5932,5125,1559,440
"G0100910","1970","Alabama","01","Marengo","091",,,,,,,,,"Marengo",621,450,289,350,289,249,151,200,135,43,17
"G0100930","1970","Alabama","01","Marion","093",,,,,,,,,"Marion",792,594,397,340,232,216,139,171,119,33,17
"G0100950","1970","Alabama","01","Marshall","095",,,,,,,,,"Marshall",1043,1119,1141,1190,876,737,474,598,459,197,67
"G0100970","1970","Alabama","01","Mobile","097",,,,,"5160",,,,"Mobile",3254,5363,7584,9774,7970,5895,3703,4617,4029,1530,944
"G0100990","1970","Alabama","01","Monroe","099",,,,,,,,,"Monroe",698,408,293,281,182,163,114,131,121,42,19
"G0101010","1970","Alabama","01","Montgomery","101",,,,,"5240",,,,"Montgomery",803,1243,2123,3353,3556,3786,3003,3765,3460,1217,743
"G0101030","1970","Alabama","01","Morgan","103",,,,,,,,,"Morgan",911,1119,1181,1618,1596,1553,1263,1626,1172,330,166
"G0101050","1970","Alabama","01","Perry","105",,,,,,,,,"Perry",486,235,122,102,93,79,50,71,64,17,7
"G0101070","1970","Alabama","01","Pickens","107",,,,,,,,,"Pickens",653,399,333,298,191,207,129,120,76,19,4
"G0101090","1970","Alabama","01","Pike","109",,,,,,,,,"Pike",696,464,357,345,221,254,130,199,135,57,19
"G0101110","1970","Alabama","01","Randolph","111",,,,,,,,,"Randolph",645,469,294,256,127,125,73,84,50,22,9
"G0101130","1970","Alabama","01","Russell","113",,,,,"1800",,,,"Russell",908,971,845,809,663,550,356,356,212,88,27
"G0101150","1970","Alabama","01","St Clair","115",,,,,,,,,"St Clair",1167,888,555,470,304,245,133,201,133,50,22
"G0101170","1970","Alabama","01","Shelby","117",,,,,"1000",,,,"Shelby",1273,907,643,632,373,386,257,332,230,95,49
"G0101190","1970","Alabama","01","Sumter","119",,,,,,,,,"Sumter",535,250,188,175,116,99,57,90,73,24,26
"G0101210","1970","Alabama","01","Talladega","121",,,,,,,,,"Talladega",1668,1645,1395,1216,822,793,512,594,476,193,67
"G0101230","1970","Alabama","01","Tallapoosa","123",,,,,,,,,"Tallapoosa",941,961,706,702,429,353,187,259,184,71,41
"G0101250","1970","Alabama","01","Tuscaloosa","125",,,,,"8600",,,,"Tuscaloosa",1598,1622,1766,2177,1845,1608,1222,1764,1698,548,303
"G0101270","1970","Alabama","01","Walker","127",,,,,"1000",,,,"Walker",3033,1929,1077,980,581,451,312,389,273,114,54
"G0101290","1970","Alabama","01","Washington","129",,,,,,,,,"Washington",720,397,248,204,96,84,47,56,25,7,2
"G0101310","1970","Alabama","01","Wilcox","131",,,,,,,,,"Wilcox",433,218,158,158,72,92,48,65,49,16,8
"G0101330","1970","Alabama","01","Winston","133",,,,,,,,,"Winston",589,406,295,257,146,139,83,118,77,35,13
"G0200100","1970","Alaska","02","Aleutian Islands","010",,,,,,,,,"Aleutian Islands",150,49,19,23,8,7,3,9,6,2,0
"G0200200","1970","Alaska","02","Anchorage","020",,,,,,,,,"Anchorage",103,133,184,280,297,485,562,1267,3276,3440,1107
"G0200300","1970","Alaska","02","Angoon","030",,,,,,,,,"Angoon",44,16,1,4,0,3,0,2,1,1,0
"G0200400","1970","Alaska","02","Barrow","040",,,,,,,,,"Barrow",67,36,36,55,17,40,11,32,7,8,0
"G0200500","1970","Alaska","02","Bethel","050",,,,,,,,,"Bethel",803,89,22,17,8,104,4,8,4,4,0
"G0200600","1970","Alaska","02","Bristol Bay Borough","060",,,,,,,,,"Bristol Bay Borough",17,10,8,3,6,4,1,2,3,1,1
"G0200620","1970","Alaska","02","Bristol Bay Division","062",,,,,,,,,"Bristol Bay Division",300,61,24,22,15,12,8,10,11,3,2
"G0200800","1970","Alaska","02","Cordova-McCarthy","080",,,,,,,,,"Cordova-Mc Carthy",33,22,21,25,18,19,14,25,27,14,2
"G0200900","1970","Alaska","02","Fairbanks North Star","090",,,,,,,,,"Fairbanks",110,126,147,176,131,198,172,340,686,560,208
"G0201000","1970","Alaska","02","Haines","100",,,,,,,,,"Haines",29,24,15,15,7,7,8,14,18,8,4
"G0201100","1970","Alaska","02","Juneau","110",,,,,,,,,"Juneau",22,12,26,44,42,58,65,170,551,371,89
"G0201200","1970","Alaska","02","Kenai-Cook Inlet","120",,,,,,,,,"Kenai-Cook Inlet",142,94,74,81,48,52,63,126,173,137,38
"G0201300","1970","Alaska","02","Ketchikan Gateway","130",,,,,,,,,"Ketchikan",39,43,59,71,64,86,103,202,265,106,53
"G0201400","1970","Alaska","02","Kobuk","140",,,,,,,,,"Kobuk",320,105,42,34,8,6,1,1,3,1,1
"G0201500","1970","Alaska","02","Kodiak Island","150",,,,,,,,,"Kodiak",115,45,49,39,24,34,34,55,105,96,22
"G0201600","1970","Alaska","02","Kuskokwim","160",,,,,,,,,"Kuskokwim",247,22,8,14,3,1,1,1,5,0,0
"G0201700","1970","Alaska","02","Matanuska-Susitna","170",,,,,,,,,"Matanuska-Susitna",99,64,62,71,47,45,33,75,65,31,12
"G0201800","1970","Alaska","02","Nome","180",,,,,,,,,"Nome",426,109,39,42,12,24,7,8,5,6,1
"G0201900","1970","Alaska","02","Outer Ketchikan","190",,,,,,,,,"Outer Ketchikan",20,19,20,27,6,11,7,10,12,9,0
"G0202000","1970","Alaska","02","Prince Of Wales","200",,,,,,,,,"Prince Of Wales",95,48,23,10,3,4,0,1,1,1,0
"G0202100","1970","Alaska","02","Seward","210",,,,,,,,,"Seward",36,44,48,48,34,32,33,27,33,19,5
"G0202200","1970","Alaska","02","Sitka","220",,,,,,,,,"Sitka",11,18,25,27,38,56,48,68,98,70,28
"G0202300","1970","Alaska","02","Skagway-Yakutat","230",,,,,,,,,"Skagway-Yakutat",75,59,24,34,17,27,12,19,9,2,2
"G0202400","1970","Alaska","02","Southeast Fairbanks","240",,,,,,,,,"Southeast Fairbanks",95,11,10,16,10,6,4,9,13,4,3
"G0202500","1970","Alaska","02","Upper Yukon","250",,,,,,,,,"Upper Yukon",149,32,13,8,2,0,0,6,1,0,1
"G0202600","1970","Alaska","02","Valdez-Chitina-Whittier","260",,,,,,,,,"Valdez-Chitina-Whittier",79,27,19,10,5,6,8,14,31,20,6
"G0202700","1970","Alaska","02","Wade Hampton","270",,,,,,,,,"Wade Hampton",497,37,4,12,0,2,1,3,0,0,0
"G0202800","1970","Alaska","02","Wrangell-Petersburg","280",,,,,,,,,"Wrangell-Petersburg",76,37,54,65,41,59,39,101,110,49,20
"G0202900","1970","Alaska","02","Yukon-Koyukuk","290",,,,,,,,,"Yukon-Koyukuk",254,48,36,38,13,11,2,8,7,4,4
"G0400010","1970","Arizona","04","Apache","001",,,,,,,,,"Apache",1705,235,146,154,110,111,75,84,58,10,7
"G0400030","1970","Arizona","04","Cochise","003",,,,,,,,,"Cochise",1123,1201,1172,1028,835,828,545,642,458,145,22
"G0400050","1970","Arizona","04","Coconino","005",,,,,,,,,"Coconino",571,294,383,401,349,482,532,847,699,296,120
"G0400070","1970","Arizona","04","Gila","007",,,,,,,,,"Gila",1260,909,804,602,335,330,232,257,171,50,14
"G0400090","1970","Arizona","04","Graham","009",,,,,,,,,"Graham",375,332,287,360,279,263,170,158,101,31,14
"G0400110","1970","Arizona","04","Greenlee","011",,,,,,,,,"Greenlee",322,187,108,115,49,41,27,44,8,4,0
"G0400130","1970","Arizona","04","Maricopa","013",,,,,"6200",,,,"Maricopa",4260,6798,10296,17734,22308,24658,21587,26880,20819,8659,4884
"G0400150","1970","Arizona","04","Mohave","015",,,,,,,,,"Mohave",479,371,423,467,384,439,343,485,447,137,54
"G0400170","1970","Arizona","04","Navajo","017",,,,,,,,,"Navajo",1500,677,507,584,521,566,357,398,280,76,21
"G0400190","1970","Arizona","04","Pima","019",,,,,"8520",,,,"Pima",1815,2508,4346,7301,8454,8325,6562,7964,6807,2961,1642
"G0400210","1970","Arizona","04","Pinal","021",,,,,,,,,"Pinal",1670,1093,943,1153,988,779,374,416,261,106,38
"G0400230","1970","Arizona","04","Santa Cruz","023",,,,,,,,,"Santa Cruz",91,103,136,201,152,191,136,210,196,100,77
"G0400250","1970","Arizona","04","Yavapai","025",,,,,,,,,"Yavapai",528,663,735,752,629,646,527,697,678,300,142
"G0400270","1970","Arizona","04","Yuma","027",,,,,,,,,"Yuma",579,606,723,1211,1182,940,613,758,450,163,108
"G0500010","1970","Arkansas","05","Arkansas","001",,,,,,,,,"Arkansas",646,522,466,408,271,268,183,228,213,140,35
"G0500030","1970","Arkansas","05","Ashley","003",,,,,,,,,"Ashley",922,735,567,564,360,303,180,225,145,54,8
"G0500050","1970","Arkansas","05","Baxter","005",,,,,,,,,"Baxter",328,303,345,401,361,364,334,374,305,91,22
"G0500070","1970","Arkansas","05","Benton","007",,,,,,,,,"Benton",824,1125,1174,1073,913,724,524,608,391,160,88
"G0500090","1970","Arkansas","05","Boone","009",,,,,,,,,"Boone",311,395,483,485,372,316,166,255,141,76,35
"G0500110","1970","Arkansas","05","Bradley","011",,,,,,,,,"Bradley",885,416,255,219,103,85,45,73,39,19,6
"G0500130","1970","Arkansas","05","Calhoun","013",,,,,,,,,"Calhoun",411,163,99,86,32,38,21,22,8,4,0
"G0500150","1970","Arkansas","05","Carroll","015",,,,,,,,,"Carroll",243,299,298,293,193,165,84,114,53,19,3
"G0500170","1970","Arkansas","05","Chicot","017",,,,,,,,,"Chicot",1046,502,259,193,119,126,89,125,102,47,28
"G0500190","1970","Arkansas","05","Clark","019",,,,,,,,,"Clark",744,499,386,324,239,205,155,229,126,36,17
"G0500210","1970","Arkansas","05","Clay","021",,,,,,,,,"Clay",1013,659,456,328,213,138,84,79,60,25,5
"G0500230","1970","Arkansas","05","Cleburne","023",,,,,,,,,"Cleburne",315,229,185,158,106,119,70,90,80,49,21
"G0500250","1970","Arkansas","05","Cleveland","025",,,,,,,,,"Cleveland",346,193,91,55,28,32,16,9,6,2,4
"G0500270","1970","Arkansas","05","Columbia","027",,,,,,,,,"Columbia",1240,692,513,420,309,278,163,190,150,84,30
"G0500290","1970","Arkansas","05","Conway","029",,,,,,,,,"Conway",505,459,331,303,203,187,120,118,84,29,6
"G0500310","1970","Arkansas","05","Craighead","031",,,,,,,,,"Craighead",1374,1145,1008,1198,913,664,440,530,452,218,109
"G0500330","1970","Arkansas","05","Crawford","033",,,,,"2720",,,,"Crawford",871,787,651,539,328,262,174,153,122,33,9
"G0500350","1970","Arkansas","05","Crittenden","035",,,,,"4920",,,,"Crittenden",1067,818,650,862,847,617,390,379,205,103,53
"G0500370","1970","Arkansas","05","Cross","037",,,,,,,,,"Cross",628,425,278,302,211,163,114,114,78,32,10
"G0500390","1970","Arkansas","05","Dallas","039",,,,,,,,,"Dallas",716,362,214,159,79,60,74,67,37,15,2
"G0500410","1970","Arkansas","05","Desha","041",,,,,,,,,"Desha",739,446,271,297,140,139,99,101,114,58,30
"G0500430","1970","Arkansas","05","Drew","043",,,,,,,,,"Drew",576,394,228,196,140,131,76,96,71,23,9
"G0500450","1970","Arkansas","05","Faulkner","045",,,,,,,,,"Faulkner",585,591,537,607,498,427,275,332,269,97,33
"G0500470","1970","Arkansas","05","Franklin","047",,,,,,,,,"Franklin",402,328,231,238,116,109,56,54,30,9,4
"G0500490","1970","Arkansas","05","Fulton","049",,,,,,,,,"Fulton",216,184,157,117,75,53,26,33,15,0,1
"G0500510","1970","Arkansas","05","Garland","051",,,,,,,,,"Garland",1479,1468,1404,1292,961,925,680,787,675,341,174
"G0500530","1970","Arkansas","05","Grant","053",,,,,,,,,"Grant",334,300,181,214,121,135,74,85,34,12,7
"G0500550","1970","Arkansas","05","Greene","055",,,,,,,,,"Greene",850,675,558,555,375,244,125,163,112,55,13
"G0500570","1970","Arkansas","05","Hempstead","057",,,,,,,,,"Hempstead",1013,679,417,338,203,167,99,106,71,25,12
"G0500590","1970","Arkansas","05","Hot Spring","059",,,,,,,,,"Hot Spring",811,785,641,535,296,259,166,189,131,43,10
"G0500610","1970","Arkansas","05","Howard","061",,,,,,,,,"Howard",634,417,257,189,111,99,44,53,43,20,3
"G0500630","1970","Arkansas","05","Independence","063",,,,,,,,,"Independence",799,648,545,544,325,228,148,190,126,49,21
"G0500650","1970","Arkansas","05","Izard","065",,,,,,,,,"Izard",271,227,149,114,78,56,28,38,28,7,3
"G0500670","1970","Arkansas","05","Jackson","067",,,,,,,,,"Jackson",709,538,350,410,278,245,90,120,107,44,30
"G0500690","1970","Arkansas","05","Jefferson","069",,,,,"6240",,,,"Jefferson",2451,2079,1877,1937,1458,1240,815,973,690,317,150
"G0500710","1970","Arkansas","05","Johnson","071",,,,,,,,,"Johnson",565,470,350,284,161,107,49,88,55,16,1
"G0500730","1970","Arkansas","05","Lafayette","073",,,,,,,,,"Lafayette",712,362,162,144,61,81,41,37,27,7,2
"G0500750","1970","Arkansas","05","Lawrence","075",,,,,,,,,"Lawrence",770,550,431,373,210,104,60,77,34,13,7
"G0500770","1970","Arkansas","05","Lee","077",,,,,,,,,"Lee",510,299,208,155,114,109,74,82,79,32,19
"G0500790","1970","Arkansas","05","Lincoln","079",,,,,,,,,"Lincoln",443,259,182,121,81,55,38,46,28,12,11
"G0500810","1970","Arkansas","05","Little River","081",,,,,,,,,"Little River",600,392,179,216,135,133,62,81,44,13,4
"G0500830","1970","Arkansas","05","Logan","083",,,,,,,,,"Logan",759,582,414,320,186,139,71,60,41,16,3
"G0500850","1970","Arkansas","05","Lonoke","085",,,,,,,,,"Lonoke",742,529,473,444,273,249,168,193,137,62,34
"G0500870","1970","Arkansas","05","Madison","087",,,,,,,,,"Madison",231,204,143,116,57,45,17,24,11,7,1
"G0500890","1970","Arkansas","05","Marion","089",,,,,,,,,"Marion",227,207,141,141,95,79,38,42,28,9,1
"G0500910","1970","Arkansas","05","Miller","091",,,,,"8360",,,,"Miller",1152,1058,867,738,522,475,268,296,230,69,48
"G0500930","1970","Arkansas","05","Mississippi","093",,,,,,,,,"Mississippi",1615,1195,850,966,774,528,285,360,324,149,76
"G0500950","1970","Arkansas","05","Monroe","095",,,,,,,,,"Monroe",624,328,241,210,113,112,64,91,60,31,19
"G0500970","1970","Arkansas","05","Montgomery","097",,,,,,,,,"Montgomery",238,194,125,77,43,31,18,24,19,5,1
"G0500990","1970","Arkansas","05","Nevada","099",,,,,,,,,"Nevada",563,351,183,140,63,81,35,21,23,6,2
"G0501010","1970","Arkansas","05","Newton","101",,,,,,,,,"Newton",115,73,49,48,24,29,14,15,2,7,0
"G0501030","1970","Arkansas","05","Ouachita","103",,,,,,,,,"Ouachita",1596,1258,908,676,364,296,201,239,213,78,27
"G0501050","1970","Arkansas","05","Perry","105",,,,,,,,,"Perry",299,217,92,93,38,30,15,10,7,3,1
"G0501070","1970","Arkansas","05","Phillips","107",,,,,,,,,"Phillips",790,669,640,550,410,364,217,238,171,100,53
"G0501090","1970","Arkansas","05","Pike","109",,,,,,,,,"Pike",483,337,179,163,88,57,36,41,29,4,4
"G0501110","1970","Arkansas","05","Poinsett","111",,,,,,,,,"Poinsett",923,619,443,397,234,176,104,118,89,34,13
"G0501130","1970","Arkansas","05","Polk","113",,,,,,,,,"Polk",521,452,321,269,164,150,59,97,53,22,6
"G0501150","1970","Arkansas","05","Pope","115",,,,,,,,,"Pope",599,606,525,581,420,336,256,340,262,102,43
"G0501170","1970","Arkansas","05","Prairie","117",,,,,,,,,"Prairie",363,271,172,151,85,73,46,64,53,14,8
"G0501190","1970","Arkansas","05","Pulaski","119",,,,,"4400",,,,"Pulaski",2354,3563,5541,7941,7460,6910,4983,5594,4728,1939,1036
"G0501210","1970","Arkansas","05","Randolph","121",,,,,,,,,"Randolph",454,439,295,253,136,112,45,68,48,21,7
"G0501230","1970","Arkansas","05","St Francis","123",,,,,,,,,"St Francis",629,537,417,425,309,296,172,196,161,70,48
"G0501250","1970","Arkansas","05","Saline","125",,,,,"4400",,,,"Saline",706,819,858,1023,720,610,428,471,311,68,25
"G0501270","1970","Arkansas","05","Scott","127",,,,,,,,,"Scott",344,252,165,125,60,50,37,33,8,6,0
"G0501290","1970","Arkansas","05","Searcy","129",,,,,,,,,"Searcy",244,198,119,95,66,38,22,32,9,2,2
"G0501310","1970","Arkansas","05","Sebastian","131",,,,,"2720",,,,"Sebastian",1643,2298,2643,2596,1863,1311,850,1120,896,395,267
"G0501330","1970","Arkansas","05","Sevier","133",,,,,,,,,"Sevier",507,409,264,237,97,98,57,48,53,8,3
"G0501350","1970","Arkansas","05","Sharp","135",,,,,,,,,"Sharp",244,220,181,152,126,123,85,130,80,30,9
"G0501370","1970","Arkansas","05","Stone","137",,,,,,,,,"Stone",196,124,109,88,46,38,21,29,10,1,3
"G0501390","1970","Arkansas","05","Union","139",,,,,,,,,"Union",2083,1470,1197,1150,840,657,394,507,372,168,125
"G0501410","1970","Arkansas","05","Van Buren","141",,,,,,,,,"Van Buren",284,217,122,123,51,56,41,39,19,7,2
"G0501430","1970","Arkansas","05","Washington","143",,,,,,,,,"Washington",997,1342,1404,1621,1335,1131,786,1000,829,302,134
"G0501450","1970","Arkansas","05","White","145",,,,,,,,,"White",1243,963,756,749,506,436,273,336,216,66,36
"G0501470","1970","Arkansas","05","Woodruff","147",,,,,,,,,"Woodruff",650,307,173,133,74,81,49,60,28,15,10
"G0501490","1970","Arkansas","05","Yell","149",,,,,,,,,"Yell",518,381,290,238,188,125,60,81,49,22,7
"G0600010","1970","California","06","Alameda","001",,,,,"7360",,,,"Alameda",219,520,1298,3668,6543,12717,23609,51693,47851,17879,6928
"G0600030","1970","California","06","Alpine","003",,,,,,,,,"Alpine",22,4,4,3,5,4,2,5,10,23,1
"G0600050","1970","California","06","Amador","005",,,,,,,,,"Amador",75,133,230,247,248,283,242,353,276,71,22
"G0600070","1970","California","06","Butte","007",,,,,,,,,"Butte",634,1203,1629,2142,2387,2635,2111,2410,1985,679,238
"G0600090","1970","California","06","Calaveras","009",,,,,,,,,"Calaveras",101,151,197,229,209,308,259,364,300,115,26
"G0600110","1970","California","06","Colusa","011",,,,,,,,,"Colusa",122,145,176,229,208,221,159,249,161,61,29
"G0600130","1970","California","06","Contra Costa","013",,,,,"7360",,,,"Contra Costa",229,563,1208,2718,4191,7585,11622,24199,31432,18371,7042
"G0600150","1970","California","06","Del Norte","015",,,,,,,,,"Del Norte",170,250,261,312,328,281,199,201,158,60,22
"G0600170","1970","California","06","El Dorado","017",,,,,,,,,"El Dorado",95,236,366,546,607,761,801,1350,1409,498,152
"G0600190","1970","California","06","Fresno","019",,,,,"2840",,,,"Fresno",1636,4018,6367,9143,10219,9820,7330,7760,6090,2537,968
"G0600210","1970","California","06","Glenn","021",,,,,,,,,"Glenn",124,238,276,360,321,322,224,258,181,65,21
"G0600230","1970","California","06","Humboldt","023",,,,,,,,,"Humboldt",464,878,1384,2080,2334,2547,1867,2046,1450,507,182
"G0600250","1970","California","06","Imperial","025",,,,,,,,,"Imperial",798,991,1032,1300,1445,1351,887,892,619,286,134
"G0600270","1970","California","06","Inyo","027",,,,,,,,,"Inyo",50,46,70,140,120,146,144,431,495,166,88
"G0600290","1970","California","06","Kern","029",,,,,"0680",,,,"Kern",2841,4194,5644,8036,8122,7495,5022,5793,4256,1471,612
"G0600310","1970","California","06","Kings","031",,,,,,,,,"Kings",852,858,1024,1170,1144,1048,742,783,518,188,44
"G0600330","1970","California","06","Lake","033",,,,,,,,,"Lake",114,225,351,508,446,516,364,469,421,215,93
"G0600350","1970","California","06","Lassen","035",,,,,,,,,"Lassen",167,296,398,348,299,240,230,293,127,34,6
"G0600370","1970","California","06","Los Angeles","037",,,,,"4480",,,,"Los Angeles",1977,4533,11083,28604,46622,85941,134194,258545,271616,133896,90678
"G0600390","1970","California","06","Madera","039",,,,,,,,,"Madera",506,677,744,980,745,593,423,604,458,126,57
"G0600410","1970","California","06","Marin","041",,,,,"7360",,,,"Marin",50,64,68,267,345,670,1399,5139,12667,10758,7017
"G0600430","1970","California","06","Mariposa","043",,,,,,,,,"Mariposa",47,61,63,69,54,66,59,80,64,32,5
"G0600450","1970","California","06","Mendocino","045",,,,,,,,,"Mendocino",202,439,551,907,971,1101,819,1132,914,362,142
"G0600470","1970","California","06","Merced","047",,,,,,,,,"Merced",560,969,1314,1909,2092,1765,1323,1480,1187,467,130
"G0600490","1970","California","06","Modoc","049",,,,,,,,,"Modoc",128,162,169,136,128,108,60,81,51,13,4
"G0600510","1970","California","06","Mono","051",,,,,,,,,"Mono",20,15,11,19,24,32,29,50,97,66,37
"G0600530","1970","California","06","Monterey","053",,,,,"7120",,,,"Monterey",213,402,751,1502,2033,3468,4219,6644,7189,3907,2655
"G0600550","1970","California","06","Napa","055",,,,,"8720",,,,"Napa",49,136,305,611,988,1818,2355,3489,2690,1100,518
"G0600570","1970","California","06","Nevada","057",,,,,,,,,"Nevada",144,291,464,597,570,580,573,770,694,272,101
"G0600590","1970","California","06","Orange","059",,,,,"0360",,,,"Orange",313,485,952,2182,3655,7584,18351,67120,84990,38608,14844
"G0600610","1970","California","06","Placer","061",,,,,"6920",,,,"Placer",200,486,832,1310,1534,1780,1486,2179,2011,874,386
"G0600630","1970","California","06","Plumas","063",,,,,,,,,"Plumas",96,197,230,225,180,207,160,293,222,82,39
"G0600650","1970","California","06","Riverside","065",,,,,"7280",,,,"Riverside",1015,2176,3740,6398,8251,10848,10740,14514,12350,4841,2393
"G0600670","1970","California","06","Sacramento","067",,,,,"6920",,,,"Sacramento",750,1931,4068,10036,17974,20291,16585,20080,15653,5544,2146
"G0600690","1970","California","06","San Benito","069",,,,,,,,,"San Benito",27,53,95,205,231,286,292,412,357,127,51
"G0600710","1970","California","06","San Bernardino","071",,,,,"7280",,,,"San Bernardino",2123,4269,8335,13993,16788,18949,16051,18051,13881,5096,2017
"G0600730","1970","California","06","San Diego","073",,,,,"7320",,,,"San Diego",580,1368,3278,7764,12983,22076,32405,52161,42999,20790,10891
"G0600750","1970","California","06","San Francisco","075",,,,,"7360",,,,"San Francisco",90,145,327,969,1590,3156,5795,17313,28512,11854,6451
