GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AB2AA,AB2AAM
G0100470,1980,Alabama,1,10,Dallas County,47,470,DALLAS COUNTY,12817,
G0100490,1980,Alabama,1,10,DeKalb County,49,490,DE KALB COUNTY,13901,
G0100510,1980,Alabama,1,10,Elmore County,51,510,ELMORE COUNTY,17510,
G0100530,1980,Alabama,1,10,Escambia County,53,530,ESCAMBIA COUNTY,14113,
G0100550,1980,Alabama,1,10,Etowah County,55,550,ETOWAH COUNTY,16275,
G0100570,1980,Alabama,1,10,Fayette County,57,570,FAYETTE COUNTY,14664,
G0100590,1980,Alabama,1,10,Franklin County,59,590,FRANKLIN COUNTY,14728,
G0100610,1980,Alabama,1,10,Geneva County,61,610,GENEVA COUNTY,13105,
G0100630,1980,Alabama,1,10,Greene County,63,630,GREENE COUNTY,9917,
G0100650,1980,Alabama,1,10,Hale County,65,650,HALE COUNTY,10368,
G0100670,1980,Alabama,1,10,Henry County,67,670,HENRY COUNTY,13952,
G0100690,1980,Alabama,1,10,Houston County,69,690,HOUSTON COUNTY,16327,
G0100710,1980,Alabama,1,10,Jackson County,71,710,JACKSON COUNTY,15706,
G0100730,1980,Alabama,1,10,Jefferson County,73,730,JEFFERSON COUNTY,18862,
G0100750,1980,Alabama,1,10,Lamar County,75,750,LAMAR COUNTY,14958,
G0100770,1980,Alabama,1,10,Lauderdale County,77,770,LAUDERDALE COUNTY,17585,
G0100790,1980,Alabama,1,10,Lawrence County,79,790,LAWRENCE COUNTY,14689,
G0100810,1980,Alabama,1,10,Lee County,81,810,LEE COUNTY,17176,
G0100830,1980,Alabama,1,10,Limestone County,83,830,LIMESTONE COUNTY,16252,
G0100850,1980,Alabama,1,10,Lowndes County,85,850,LOWNDES COUNTY,9766,
