GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALY3E001,ALY3E002,ALY3E003,ALY3E004,ALY3E005,ALY3E006,ALY3E007,NAME_M,ALY3M001,ALY3M002,ALY3M003,ALY3M004,ALY3M005,ALY3M006,ALY3M007
"G1801330","2015-2019","IN",,,"Indiana","18","Putnam County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18133",,,"Putnam County, Indiana",30994,17097,17091,16558,533,6,13897,"Putnam County, Indiana",142,517,517,556,168,11,522
"G1801350","2015-2019","IN",,,"Indiana","18","Randolph County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18135",,,"Randolph County, Indiana",19945,11976,11969,11372,597,7,7969,"Randolph County, Indiana",85,312,312,331,135,10,314
"G1801370","2015-2019","IN",,,"Indiana","18","Ripley County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18137",,,"Ripley County, Indiana",22635,14760,14734,13966,768,26,7875,"Ripley County, Indiana",104,324,320,380,194,31,327
"G1801390","2015-2019","IN",,,"Indiana","18","Rush County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18139",,,"Rush County, Indiana",13324,7929,7929,7563,366,0,5395,"Rush County, Indiana",90,320,320,329,114,19,323
"G1801410","2015-2019","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18141",,,"St. Joseph County, Indiana",213272,135059,134861,128744,6117,198,78213,"St. Joseph County, Indiana",288,1308,1311,1309,532,91,1308
"G1801430","2015-2019","IN",,,"Indiana","18","Scott County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18143",,,"Scott County, Indiana",19074,10700,10671,10135,536,29,8374,"Scott County, Indiana",127,487,492,522,201,39,496
"G1801450","2015-2019","IN",,,"Indiana","18","Shelby County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18145",,,"Shelby County, Indiana",35406,23067,23047,22227,820,20,12339,"Shelby County, Indiana",129,500,502,535,198,24,502
"G1801470","2015-2019","IN",,,"Indiana","18","Spencer County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18147",,,"Spencer County, Indiana",16417,10256,10240,9938,302,16,6161,"Spencer County, Indiana",81,248,242,253,98,19,249
"G1801490","2015-2019","IN",,,"Indiana","18","Starke County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18149",,,"Starke County, Indiana",18223,10265,10260,9751,509,5,7958,"Starke County, Indiana",131,368,369,375,148,9,371
"G1801510","2015-2019","IN",,,"Indiana","18","Steuben County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18151",,,"Steuben County, Indiana",28187,18170,18170,17584,586,0,10017,"Steuben County, Indiana",100,394,394,436,120,25,407
"G1801530","2015-2019","IN",,,"Indiana","18","Sullivan County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18153",,,"Sullivan County, Indiana",17106,9031,9031,8591,440,0,8075,"Sullivan County, Indiana",69,359,359,372,117,22,379
"G1801550","2015-2019","IN",,,"Indiana","18","Switzerland County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18155",,,"Switzerland County, Indiana",8334,4812,4812,4519,293,0,3522,"Switzerland County, Indiana",85,254,254,271,120,19,265
"G1801570","2015-2019","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18157",,,"Tippecanoe County, Indiana",156423,101190,101058,96929,4129,132,55233,"Tippecanoe County, Indiana",276,1384,1387,1351,517,71,1431
"G1801590","2015-2019","IN",,,"Indiana","18","Tipton County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18159",,,"Tipton County, Indiana",12478,7795,7781,7530,251,14,4683,"Tipton County, Indiana",126,301,300,292,83,18,298
"G1801610","2015-2019","IN",,,"Indiana","18","Union County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18161",,,"Union County, Indiana",5753,3445,3445,3395,50,0,2308,"Union County, Indiana",56,178,178,178,36,17,166
"G1801630","2015-2019","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18163",,,"Vanderburgh County, Indiana",146105,92591,92574,88298,4276,17,53514,"Vanderburgh County, Indiana",292,1037,1032,1148,482,26,1085
"G1801650","2015-2019","IN",,,"Indiana","18","Vermillion County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18165",,,"Vermillion County, Indiana",12537,7269,7254,6771,483,15,5268,"Vermillion County, Indiana",71,246,248,231,155,21,250
"G1801670","2015-2019","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18167",,,"Vigo County, Indiana",88063,52376,52278,48625,3653,98,35687,"Vigo County, Indiana",168,1111,1112,1106,420,63,1108
"G1801690","2015-2019","IN",,,"Indiana","18","Wabash County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18169",,,"Wabash County, Indiana",25650,15434,15415,14712,703,19,10216,"Wabash County, Indiana",101,371,372,390,169,30,346
"G1801710","2015-2019","IN",,,"Indiana","18","Warren County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18171",,,"Warren County, Indiana",6575,4139,4139,3974,165,0,2436,"Warren County, Indiana",47,161,161,170,52,17,162
"G1801730","2015-2019","IN",,,"Indiana","18","Warrick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18173",,,"Warrick County, Indiana",49206,32800,32783,31695,1088,17,16406,"Warrick County, Indiana",193,685,684,688,230,28,720
"G1801750","2015-2019","IN",,,"Indiana","18","Washington County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18175",,,"Washington County, Indiana",22163,12969,12957,12238,719,12,9194,"Washington County, Indiana",157,419,417,434,176,20,411
"G1801770","2015-2019","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18177",,,"Wayne County, Indiana",53448,31771,31755,30108,1647,16,21677,"Wayne County, Indiana",162,482,482,529,293,18,519
"G1801790","2015-2019","IN",,,"Indiana","18","Wells County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18179",,,"Wells County, Indiana",21927,14453,14374,13966,408,79,7474,"Wells County, Indiana",89,263,259,294,131,59,259
"G1801810","2015-2019","IN",,,"Indiana","18","White County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18181",,,"White County, Indiana",19107,11793,11748,11283,465,45,7314,"White County, Indiana",96,317,311,338,117,58,325
"G1801830","2015-2019","IN",,,"Indiana","18","Whitley County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18183",,,"Whitley County, Indiana",26923,17866,17848,17204,644,18,9057,"Whitley County, Indiana",105,379,379,415,162,20,386
"G1900010","2015-2019","IA",,,"Iowa","19","Adair County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19001",,,"Adair County, Iowa",5703,3660,3660,3506,154,0,2043,"Adair County, Iowa",38,114,114,130,50,14,115
"G1900030","2015-2019","IA",,,"Iowa","19","Adams County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19003",,,"Adams County, Iowa",2974,1742,1742,1674,68,0,1232,"Adams County, Iowa",19,76,76,89,43,10,78
"G1900050","2015-2019","IA",,,"Iowa","19","Allamakee County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19005",,,"Allamakee County, Iowa",10966,6957,6957,6752,205,0,4009,"Allamakee County, Iowa",46,221,221,247,77,16,223
"G1900070","2015-2019","IA",,,"Iowa","19","Appanoose County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19007",,,"Appanoose County, Iowa",10034,5629,5629,5263,366,0,4405,"Appanoose County, Iowa",65,276,276,306,88,16,274
"G1900090","2015-2019","IA",,,"Iowa","19","Audubon County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19009",,,"Audubon County, Iowa",4572,2965,2958,2906,52,7,1607,"Audubon County, Iowa",41,110,112,121,27,11,94
"G1900110","2015-2019","IA",,,"Iowa","19","Benton County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19011",,,"Benton County, Iowa",20327,13678,13678,13269,409,0,6649,"Benton County, Iowa",77,329,329,347,99,18,328
"G1900130","2015-2019","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19013",,,"Black Hawk County, Iowa",106746,72422,72355,69185,3170,67,34324,"Black Hawk County, Iowa",182,903,904,939,339,47,926
"G1900150","2015-2019","IA",,,"Iowa","19","Boone County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19015",,,"Boone County, Iowa",21530,14551,14465,14064,401,86,6979,"Boone County, Iowa",81,360,368,368,98,72,369
"G1900170","2015-2019","IA",,,"Iowa","19","Bremer County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19017",,,"Bremer County, Iowa",20019,13483,13467,13158,309,16,6536,"Bremer County, Iowa",89,265,267,272,73,20,267
"G1900190","2015-2019","IA",,,"Iowa","19","Buchanan County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19019",,,"Buchanan County, Iowa",16022,10757,10757,10518,239,0,5265,"Buchanan County, Iowa",93,257,257,270,87,18,263
"G1900210","2015-2019","IA",,,"Iowa","19","Buena Vista County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19021",,,"Buena Vista County, Iowa",15540,10896,10896,10343,553,0,4644,"Buena Vista County, Iowa",138,274,274,292,129,18,307
"G1900230","2015-2019","IA",,,"Iowa","19","Butler County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19023",,,"Butler County, Iowa",11539,7421,7415,7202,213,6,4118,"Butler County, Iowa",72,160,161,155,50,6,149
"G1900250","2015-2019","IA",,,"Iowa","19","Calhoun County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19025",,,"Calhoun County, Iowa",7864,4440,4416,4314,102,24,3424,"Calhoun County, Iowa",27,178,182,182,34,33,182
"G1900270","2015-2019","IA",,,"Iowa","19","Carroll County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19027",,,"Carroll County, Iowa",15834,10869,10849,10628,221,20,4965,"Carroll County, Iowa",86,240,242,255,80,33,228
"G1900290","2015-2019","IA",,,"Iowa","19","Cass County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19029",,,"Cass County, Iowa",10586,6528,6528,6370,158,0,4058,"Cass County, Iowa",58,251,251,248,59,16,253
"G1900310","2015-2019","IA",,,"Iowa","19","Cedar County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19031",,,"Cedar County, Iowa",14664,9941,9941,9634,307,0,4723,"Cedar County, Iowa",122,245,245,276,109,16,239
"G1900330","2015-2019","IA",,,"Iowa","19","Cerro Gordo County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19033",,,"Cerro Gordo County, Iowa",35032,23125,23098,22181,917,27,11907,"Cerro Gordo County, Iowa",120,509,508,531,227,39,489
"G1900350","2015-2019","IA",,,"Iowa","19","Cherokee County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19035",,,"Cherokee County, Iowa",9231,6018,6016,5822,194,2,3213,"Cherokee County, Iowa",73,244,245,251,89,5,215
"G1900370","2015-2019","IA",,,"Iowa","19","Chickasaw County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19037",,,"Chickasaw County, Iowa",9594,6630,6630,6519,111,0,2964,"Chickasaw County, Iowa",68,182,182,186,51,16,167
"G1900390","2015-2019","IA",,,"Iowa","19","Clarke County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19039",,,"Clarke County, Iowa",7318,4788,4759,4615,144,29,2530,"Clarke County, Iowa",48,217,229,254,74,33,205
"G1900410","2015-2019","IA",,,"Iowa","19","Clay County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19041",,,"Clay County, Iowa",12959,8467,8467,8111,356,0,4492,"Clay County, Iowa",89,219,219,242,145,16,211
"G1900430","2015-2019","IA",,,"Iowa","19","Clayton County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19043",,,"Clayton County, Iowa",14263,9313,9313,9087,226,0,4950,"Clayton County, Iowa",119,248,248,251,73,16,237
"G1900450","2015-2019","IA",,,"Iowa","19","Clinton County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19045",,,"Clinton County, Iowa",37442,23217,23207,22152,1055,10,14225,"Clinton County, Iowa",156,566,565,552,236,12,576
"G1900470","2015-2019","IA",,,"Iowa","19","Crawford County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19047",,,"Crawford County, Iowa",13378,8382,8382,7824,558,0,4996,"Crawford County, Iowa",94,339,339,382,211,16,361
"G1900490","2015-2019","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19049",,,"Dallas County, Iowa",65356,48889,48829,47496,1333,60,16467,"Dallas County, Iowa",166,713,718,777,304,46,704
"G1900510","2015-2019","IA",,,"Iowa","19","Davis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19051",,,"Davis County, Iowa",6568,4333,4333,4202,131,0,2235,"Davis County, Iowa",79,208,208,210,62,14,209
"G1900530","2015-2019","IA",,,"Iowa","19","Decatur County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19053",,,"Decatur County, Iowa",6398,3849,3849,3666,183,0,2549,"Decatur County, Iowa",34,177,177,159,49,14,179
"G1900550","2015-2019","IA",,,"Iowa","19","Delaware County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19055",,,"Delaware County, Iowa",13546,9445,9445,9258,187,0,4101,"Delaware County, Iowa",91,220,220,225,72,16,237
"G1900570","2015-2019","IA",,,"Iowa","19","Des Moines County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19057",,,"Des Moines County, Iowa",31541,20102,20090,19045,1045,12,11439,"Des Moines County, Iowa",120,402,402,439,279,15,389
"G1900590","2015-2019","IA",,,"Iowa","19","Dickinson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19059",,,"Dickinson County, Iowa",14285,9387,9387,9204,183,0,4898,"Dickinson County, Iowa",75,248,248,262,73,16,238
"G1900610","2015-2019","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19061",,,"Dubuque County, Iowa",77469,52649,52569,50533,2036,80,24820,"Dubuque County, Iowa",176,642,650,709,298,54,665
"G1900630","2015-2019","IA",,,"Iowa","19","Emmet County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19063",,,"Emmet County, Iowa",7730,4896,4896,4721,175,0,2834,"Emmet County, Iowa",72,200,200,199,84,14,184
"G1900650","2015-2019","IA",,,"Iowa","19","Fayette County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19065",,,"Fayette County, Iowa",16107,10109,10106,9796,310,3,5998,"Fayette County, Iowa",58,283,283,285,89,5,283
"G1900670","2015-2019","IA",,,"Iowa","19","Floyd County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19067",,,"Floyd County, Iowa",12619,8037,8037,7857,180,0,4582,"Floyd County, Iowa",66,248,248,262,86,16,240
"G1900690","2015-2019","IA",,,"Iowa","19","Franklin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19069",,,"Franklin County, Iowa",8059,5143,5143,4965,178,0,2916,"Franklin County, Iowa",43,223,223,232,63,16,224
"G1900710","2015-2019","IA",,,"Iowa","19","Fremont County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19071",,,"Fremont County, Iowa",5622,3384,3384,3262,122,0,2238,"Fremont County, Iowa",43,135,135,136,46,14,128
"G1900730","2015-2019","IA",,,"Iowa","19","Greene County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19073",,,"Greene County, Iowa",7141,4756,4756,4540,216,0,2385,"Greene County, Iowa",59,132,132,141,70,14,136
"G1900750","2015-2019","IA",,,"Iowa","19","Grundy County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19075",,,"Grundy County, Iowa",9829,6360,6360,6219,141,0,3469,"Grundy County, Iowa",51,164,164,168,50,16,160
"G1900770","2015-2019","IA",,,"Iowa","19","Guthrie County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19077",,,"Guthrie County, Iowa",8551,5491,5491,5326,165,0,3060,"Guthrie County, Iowa",49,133,133,152,49,16,130
"G1900790","2015-2019","IA",,,"Iowa","19","Hamilton County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19079",,,"Hamilton County, Iowa",11860,7562,7552,7348,204,10,4298,"Hamilton County, Iowa",53,280,282,286,70,9,286
"G1900810","2015-2019","IA",,,"Iowa","19","Hancock County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19081",,,"Hancock County, Iowa",8744,5778,5774,5647,127,4,2966,"Hancock County, Iowa",45,197,197,199,55,6,214
"G1900830","2015-2019","IA",,,"Iowa","19","Hardin County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19083",,,"Hardin County, Iowa",14081,8646,8644,8491,153,2,5435,"Hardin County, Iowa",69,213,214,216,52,3,226
"G1900850","2015-2019","IA",,,"Iowa","19","Harrison County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19085",,,"Harrison County, Iowa",11208,7414,7406,7292,114,8,3794,"Harrison County, Iowa",47,170,171,181,39,11,172
"G1900870","2015-2019","IA",,,"Iowa","19","Henry County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19087",,,"Henry County, Iowa",16045,9805,9802,9264,538,3,6240,"Henry County, Iowa",80,268,269,276,142,5,277
"G1900890","2015-2019","IA",,,"Iowa","19","Howard County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19089",,,"Howard County, Iowa",7146,4845,4845,4728,117,0,2301,"Howard County, Iowa",69,167,167,166,45,14,151
"G1900910","2015-2019","IA",,,"Iowa","19","Humboldt County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19091",,,"Humboldt County, Iowa",7527,4853,4853,4656,197,0,2674,"Humboldt County, Iowa",47,145,145,147,58,14,145
"G1900930","2015-2019","IA",,,"Iowa","19","Ida County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19093",,,"Ida County, Iowa",5468,3543,3543,3452,91,0,1925,"Ida County, Iowa",30,129,129,132,38,14,123
"G1900950","2015-2019","IA",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19095",,,"Iowa County, Iowa",12894,8807,8773,8516,257,34,4087,"Iowa County, Iowa",94,284,281,297,87,45,273
"G1900970","2015-2019","IA",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19097",,,"Jackson County, Iowa",15701,9911,9911,9547,364,0,5790,"Jackson County, Iowa",47,267,267,259,126,16,279
"G1900990","2015-2019","IA",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19099",,,"Jasper County, Iowa",29637,18744,18734,18027,707,10,10893,"Jasper County, Iowa",91,459,459,473,164,14,459
"G1901010","2015-2019","IA",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19101",,,"Jefferson County, Iowa",15569,9695,9695,9052,643,0,5874,"Jefferson County, Iowa",80,756,756,801,230,16,760
"G1901030","2015-2019","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19103",,,"Johnson County, Iowa",121738,87187,87156,84129,3027,31,34551,"Johnson County, Iowa",244,1042,1039,1046,425,26,1062
"G1901050","2015-2019","IA",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19105",,,"Jones County, Iowa",16640,10174,10174,9850,324,0,6466,"Jones County, Iowa",109,321,321,320,145,18,301
"G1901070","2015-2019","IA",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19107",,,"Keokuk County, Iowa",8152,5097,5097,4856,241,0,3055,"Keokuk County, Iowa",43,166,166,172,75,16,165
"G1901090","2015-2019","IA",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19109",,,"Kossuth County, Iowa",12026,7552,7552,7322,230,0,4474,"Kossuth County, Iowa",43,150,150,159,70,16,147
"G1901110","2015-2019","IA",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19111",,,"Lee County, Iowa",27601,16767,16715,15554,1161,52,10834,"Lee County, Iowa",139,390,397,417,208,43,398
"G1901130","2015-2019","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19113",,,"Linn County, Iowa",177325,123593,123517,118971,4546,76,53732,"Linn County, Iowa",362,950,955,974,541,60,930
"G1901150","2015-2019","IA",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19115",,,"Louisa County, Iowa",8981,5906,5903,5621,282,3,3075,"Louisa County, Iowa",48,174,174,183,81,5,156
"G1901170","2015-2019","IA",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19117",,,"Lucas County, Iowa",6890,4267,4258,4113,145,9,2623,"Lucas County, Iowa",55,167,167,176,57,16,157
"G1901190","2015-2019","IA",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19119",,,"Lyon County, Iowa",8772,6197,6196,6076,120,1,2575,"Lyon County, Iowa",46,135,135,135,37,2,143
"G1901210","2015-2019","IA",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19121",,,"Madison County, Iowa",12542,8696,8686,8446,240,10,3846,"Madison County, Iowa",88,251,250,258,110,10,260
"G1901230","2015-2019","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123",,,"Mahaska County, Iowa",17477,11499,11496,11050,446,3,5978,"Mahaska County, Iowa",64,274,274,308,125,5,283
"G1901250","2015-2019","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125",,,"Marion County, Iowa",26321,17293,17293,16911,382,0,9028,"Marion County, Iowa",156,376,376,413,118,21,409
"G1901270","2015-2019","IA",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19127",,,"Marshall County, Iowa",30961,19903,19903,18901,1002,0,11058,"Marshall County, Iowa",105,445,445,475,203,21,451
"G1901290","2015-2019","IA",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19129",,,"Mills County, Iowa",11801,7741,7713,7404,309,28,4060,"Mills County, Iowa",82,258,258,264,92,21,257
"G1901310","2015-2019","IA",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19131",,,"Mitchell County, Iowa",8460,5516,5516,5392,124,0,2944,"Mitchell County, Iowa",50,184,184,187,61,16,187
"G1901330","2015-2019","IA",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19133",,,"Monona County, Iowa",7122,4451,4448,4314,134,3,2671,"Monona County, Iowa",49,156,156,161,59,5,151
"G1901350","2015-2019","IA",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19135",,,"Monroe County, Iowa",6147,3940,3940,3785,155,0,2207,"Monroe County, Iowa",55,168,168,173,63,14,163
"G1901370","2015-2019","IA",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19137",,,"Montgomery County, Iowa",8045,5091,5073,4867,206,18,2954,"Montgomery County, Iowa",63,209,208,229,76,27,194
"G1901390","2015-2019","IA",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19139",,,"Muscatine County, Iowa",33417,22221,22221,21555,666,0,11196,"Muscatine County, Iowa",128,494,494,477,158,21,520
"G1901410","2015-2019","IA",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19141",,,"O'Brien County, Iowa",10967,7369,7363,7224,139,6,3598,"O'Brien County, Iowa",48,255,256,263,61,8,252
"G1901430","2015-2019","IA",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19143",,,"Osceola County, Iowa",4786,3202,3202,3109,93,0,1584,"Osceola County, Iowa",36,109,109,111,33,14,117
"G1901450","2015-2019","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145",,,"Page County, Iowa",12623,7322,7322,6982,340,0,5301,"Page County, Iowa",106,357,357,380,104,16,381
"G1901470","2015-2019","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147",,,"Palo Alto County, Iowa",7090,4650,4648,4581,67,2,2440,"Palo Alto County, Iowa",55,137,138,138,32,4,126
"G1901490","2015-2019","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149",,,"Plymouth County, Iowa",19598,13624,13608,13367,241,16,5974,"Plymouth County, Iowa",95,329,329,325,94,13,297
"G1901510","2015-2019","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151",,,"Pocahontas County, Iowa",5480,3440,3434,3322,112,6,2040,"Pocahontas County, Iowa",28,119,118,119,50,8,123
"G1901530","2015-2019","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153",,,"Polk County, Iowa",372445,268820,268387,257032,11355,433,103625,"Polk County, Iowa",566,1592,1623,1705,981,164,1505
"G1901550","2015-2019","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155",,,"Pottawattamie County, Iowa",73929,49082,49053,47210,1843,29,24847,"Pottawattamie County, Iowa",193,678,682,678,251,23,690
