GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,AL1HE001,NAME_M,AL1HM001
"G1600470","2015-2019","ID",,,"Idaho","16","Gooding County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16047",,,"Gooding County, Idaho",157800,"Gooding County, Idaho",7733
"G1600490","2015-2019","ID",,,"Idaho","16","Idaho County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16049",,,"Idaho County, Idaho",173200,"Idaho County, Idaho",9698
"G1600510","2015-2019","ID",,,"Idaho","16","Jefferson County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16051",,,"Jefferson County, Idaho",203700,"Jefferson County, Idaho",12620
"G1600530","2015-2019","ID",,,"Idaho","16","Jerome County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16053",,,"Jerome County, Idaho",164600,"Jerome County, Idaho",8940
"G1600550","2015-2019","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16055",,,"Kootenai County, Idaho",260300,"Kootenai County, Idaho",6078
"G1600570","2015-2019","ID",,,"Idaho","16","Latah County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16057",,,"Latah County, Idaho",228200,"Latah County, Idaho",7647
"G1600590","2015-2019","ID",,,"Idaho","16","Lemhi County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16059",,,"Lemhi County, Idaho",177000,"Lemhi County, Idaho",17391
"G1600610","2015-2019","ID",,,"Idaho","16","Lewis County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16061",,,"Lewis County, Idaho",132300,"Lewis County, Idaho",9444
"G1600630","2015-2019","ID",,,"Idaho","16","Lincoln County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16063",,,"Lincoln County, Idaho",145600,"Lincoln County, Idaho",8223
"G1600650","2015-2019","ID",,,"Idaho","16","Madison County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16065",,,"Madison County, Idaho",219100,"Madison County, Idaho",9690
"G1600670","2015-2019","ID",,,"Idaho","16","Minidoka County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16067",,,"Minidoka County, Idaho",149600,"Minidoka County, Idaho",6302
"G1600690","2015-2019","ID",,,"Idaho","16","Nez Perce County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16069",,,"Nez Perce County, Idaho",191500,"Nez Perce County, Idaho",7121
"G1600710","2015-2019","ID",,,"Idaho","16","Oneida County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16071",,,"Oneida County, Idaho",167100,"Oneida County, Idaho",12278
"G1600730","2015-2019","ID",,,"Idaho","16","Owyhee County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16073",,,"Owyhee County, Idaho",147800,"Owyhee County, Idaho",12779
"G1600750","2015-2019","ID",,,"Idaho","16","Payette County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16075",,,"Payette County, Idaho",165600,"Payette County, Idaho",12123
"G1600770","2015-2019","ID",,,"Idaho","16","Power County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16077",,,"Power County, Idaho",151300,"Power County, Idaho",10640
"G1600790","2015-2019","ID",,,"Idaho","16","Shoshone County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16079",,,"Shoshone County, Idaho",127900,"Shoshone County, Idaho",9523
"G1600810","2015-2019","ID",,,"Idaho","16","Teton County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16081",,,"Teton County, Idaho",346600,"Teton County, Idaho",21152
"G1600830","2015-2019","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16083",,,"Twin Falls County, Idaho",166800,"Twin Falls County, Idaho",4280
"G1600850","2015-2019","ID",,,"Idaho","16","Valley County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16085",,,"Valley County, Idaho",314800,"Valley County, Idaho",23143
"G1600870","2015-2019","ID",,,"Idaho","16","Washington County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16087",,,"Washington County, Idaho",148900,"Washington County, Idaho",11991
"G1700010","2015-2019","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17001",,,"Adams County, Illinois",127800,"Adams County, Illinois",4174
"G1700030","2015-2019","IL",,,"Illinois","17","Alexander County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17003",,,"Alexander County, Illinois",56000,"Alexander County, Illinois",5393
"G1700050","2015-2019","IL",,,"Illinois","17","Bond County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17005",,,"Bond County, Illinois",119700,"Bond County, Illinois",9909
"G1700070","2015-2019","IL",,,"Illinois","17","Boone County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17007",,,"Boone County, Illinois",153400,"Boone County, Illinois",5343
"G1700090","2015-2019","IL",,,"Illinois","17","Brown County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17009",,,"Brown County, Illinois",96200,"Brown County, Illinois",8362
"G1700110","2015-2019","IL",,,"Illinois","17","Bureau County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17011",,,"Bureau County, Illinois",111700,"Bureau County, Illinois",3156
"G1700130","2015-2019","IL",,,"Illinois","17","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17013",,,"Calhoun County, Illinois",121000,"Calhoun County, Illinois",9563
"G1700150","2015-2019","IL",,,"Illinois","17","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17015",,,"Carroll County, Illinois",106100,"Carroll County, Illinois",5066
"G1700170","2015-2019","IL",,,"Illinois","17","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17017",,,"Cass County, Illinois",80800,"Cass County, Illinois",3496
"G1700190","2015-2019","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17019",,,"Champaign County, Illinois",162100,"Champaign County, Illinois",2649
"G1700210","2015-2019","IL",,,"Illinois","17","Christian County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17021",,,"Christian County, Illinois",90900,"Christian County, Illinois",3701
"G1700230","2015-2019","IL",,,"Illinois","17","Clark County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17023",,,"Clark County, Illinois",92500,"Clark County, Illinois",5485
"G1700250","2015-2019","IL",,,"Illinois","17","Clay County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17025",,,"Clay County, Illinois",84500,"Clay County, Illinois",5594
"G1700270","2015-2019","IL",,,"Illinois","17","Clinton County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17027",,,"Clinton County, Illinois",146200,"Clinton County, Illinois",5325
"G1700290","2015-2019","IL",,,"Illinois","17","Coles County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17029",,,"Coles County, Illinois",100500,"Coles County, Illinois",4365
"G1700310","2015-2019","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17031",,,"Cook County, Illinois",246600,"Cook County, Illinois",993
"G1700330","2015-2019","IL",,,"Illinois","17","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17033",,,"Crawford County, Illinois",87800,"Crawford County, Illinois",3741
"G1700350","2015-2019","IL",,,"Illinois","17","Cumberland County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17035",,,"Cumberland County, Illinois",105800,"Cumberland County, Illinois",8001
"G1700370","2015-2019","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17037",,,"DeKalb County, Illinois",173100,"DeKalb County, Illinois",2673
"G1700390","2015-2019","IL",,,"Illinois","17","De Witt County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17039",,,"De Witt County, Illinois",99500,"De Witt County, Illinois",6313
"G1700410","2015-2019","IL",,,"Illinois","17","Douglas County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17041",,,"Douglas County, Illinois",111400,"Douglas County, Illinois",4440
"G1700430","2015-2019","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17043",,,"DuPage County, Illinois",308500,"DuPage County, Illinois",2277
"G1700450","2015-2019","IL",,,"Illinois","17","Edgar County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17045",,,"Edgar County, Illinois",82800,"Edgar County, Illinois",3541
"G1700470","2015-2019","IL",,,"Illinois","17","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17047",,,"Edwards County, Illinois",79300,"Edwards County, Illinois",4628
"G1700490","2015-2019","IL",,,"Illinois","17","Effingham County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17049",,,"Effingham County, Illinois",143600,"Effingham County, Illinois",5440
"G1700510","2015-2019","IL",,,"Illinois","17","Fayette County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17051",,,"Fayette County, Illinois",88300,"Fayette County, Illinois",4109
"G1700530","2015-2019","IL",,,"Illinois","17","Ford County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17053",,,"Ford County, Illinois",98300,"Ford County, Illinois",3960
"G1700550","2015-2019","IL",,,"Illinois","17","Franklin County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17055",,,"Franklin County, Illinois",76100,"Franklin County, Illinois",2665
"G1700570","2015-2019","IL",,,"Illinois","17","Fulton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17057",,,"Fulton County, Illinois",88600,"Fulton County, Illinois",2389
"G1700590","2015-2019","IL",,,"Illinois","17","Gallatin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17059",,,"Gallatin County, Illinois",73900,"Gallatin County, Illinois",5945
"G1700610","2015-2019","IL",,,"Illinois","17","Greene County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17061",,,"Greene County, Illinois",81000,"Greene County, Illinois",3739
"G1700630","2015-2019","IL",,,"Illinois","17","Grundy County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17063",,,"Grundy County, Illinois",199300,"Grundy County, Illinois",4981
"G1700650","2015-2019","IL",,,"Illinois","17","Hamilton County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17065",,,"Hamilton County, Illinois",93500,"Hamilton County, Illinois",14185
"G1700670","2015-2019","IL",,,"Illinois","17","Hancock County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17067",,,"Hancock County, Illinois",85600,"Hancock County, Illinois",3295
"G1700690","2015-2019","IL",,,"Illinois","17","Hardin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17069",,,"Hardin County, Illinois",80500,"Hardin County, Illinois",7042
"G1700710","2015-2019","IL",,,"Illinois","17","Henderson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17071",,,"Henderson County, Illinois",92000,"Henderson County, Illinois",6552
"G1700730","2015-2019","IL",,,"Illinois","17","Henry County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17073",,,"Henry County, Illinois",119200,"Henry County, Illinois",3347
"G1700750","2015-2019","IL",,,"Illinois","17","Iroquois County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17075",,,"Iroquois County, Illinois",102800,"Iroquois County, Illinois",3534
"G1700770","2015-2019","IL",,,"Illinois","17","Jackson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17077",,,"Jackson County, Illinois",108600,"Jackson County, Illinois",4522
"G1700790","2015-2019","IL",,,"Illinois","17","Jasper County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17079",,,"Jasper County, Illinois",99500,"Jasper County, Illinois",8360
"G1700810","2015-2019","IL",,,"Illinois","17","Jefferson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17081",,,"Jefferson County, Illinois",96700,"Jefferson County, Illinois",4819
"G1700830","2015-2019","IL",,,"Illinois","17","Jersey County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17083",,,"Jersey County, Illinois",147900,"Jersey County, Illinois",10429
"G1700850","2015-2019","IL",,,"Illinois","17","Jo Daviess County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17085",,,"Jo Daviess County, Illinois",149100,"Jo Daviess County, Illinois",6870
"G1700870","2015-2019","IL",,,"Illinois","17","Johnson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17087",,,"Johnson County, Illinois",109500,"Johnson County, Illinois",9435
"G1700890","2015-2019","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17089",,,"Kane County, Illinois",238300,"Kane County, Illinois",2636
"G1700910","2015-2019","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17091",,,"Kankakee County, Illinois",147900,"Kankakee County, Illinois",3195
"G1700930","2015-2019","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17093",,,"Kendall County, Illinois",235600,"Kendall County, Illinois",5836
"G1700950","2015-2019","IL",,,"Illinois","17","Knox County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17095",,,"Knox County, Illinois",83000,"Knox County, Illinois",1987
"G1700970","2015-2019","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17097",,,"Lake County, Illinois",265100,"Lake County, Illinois",2736
"G1700990","2015-2019","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17099",,,"LaSalle County, Illinois",127200,"LaSalle County, Illinois",3184
"G1701010","2015-2019","IL",,,"Illinois","17","Lawrence County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17101",,,"Lawrence County, Illinois",78400,"Lawrence County, Illinois",5307
"G1701030","2015-2019","IL",,,"Illinois","17","Lee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17103",,,"Lee County, Illinois",119900,"Lee County, Illinois",4185
"G1701050","2015-2019","IL",,,"Illinois","17","Livingston County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17105",,,"Livingston County, Illinois",109400,"Livingston County, Illinois",3825
"G1701070","2015-2019","IL",,,"Illinois","17","Logan County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17107",,,"Logan County, Illinois",103200,"Logan County, Illinois",4310
"G1701090","2015-2019","IL",,,"Illinois","17","McDonough County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17109",,,"McDonough County, Illinois",91800,"McDonough County, Illinois",4683
"G1701110","2015-2019","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17111",,,"McHenry County, Illinois",224500,"McHenry County, Illinois",2142
"G1701130","2015-2019","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17113",,,"McLean County, Illinois",167000,"McLean County, Illinois",1910
"G1701150","2015-2019","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17115",,,"Macon County, Illinois",98400,"Macon County, Illinois",2038
"G1701170","2015-2019","IL",,,"Illinois","17","Macoupin County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17117",,,"Macoupin County, Illinois",100600,"Macoupin County, Illinois",3272
"G1701190","2015-2019","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17119",,,"Madison County, Illinois",135600,"Madison County, Illinois",2506
"G1701210","2015-2019","IL",,,"Illinois","17","Marion County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17121",,,"Marion County, Illinois",77900,"Marion County, Illinois",2540
"G1701230","2015-2019","IL",,,"Illinois","17","Marshall County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17123",,,"Marshall County, Illinois",104900,"Marshall County, Illinois",4092
"G1701250","2015-2019","IL",,,"Illinois","17","Mason County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17125",,,"Mason County, Illinois",83000,"Mason County, Illinois",4104
"G1701270","2015-2019","IL",,,"Illinois","17","Massac County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17127",,,"Massac County, Illinois",83600,"Massac County, Illinois",3662
"G1701290","2015-2019","IL",,,"Illinois","17","Menard County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17129",,,"Menard County, Illinois",146900,"Menard County, Illinois",8864
"G1701310","2015-2019","IL",,,"Illinois","17","Mercer County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17131",,,"Mercer County, Illinois",107600,"Mercer County, Illinois",5065
"G1701330","2015-2019","IL",,,"Illinois","17","Monroe County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17133",,,"Monroe County, Illinois",211300,"Monroe County, Illinois",6066
"G1701350","2015-2019","IL",,,"Illinois","17","Montgomery County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17135",,,"Montgomery County, Illinois",84100,"Montgomery County, Illinois",4185
"G1701370","2015-2019","IL",,,"Illinois","17","Morgan County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17137",,,"Morgan County, Illinois",110100,"Morgan County, Illinois",4926
"G1701390","2015-2019","IL",,,"Illinois","17","Moultrie County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17139",,,"Moultrie County, Illinois",107400,"Moultrie County, Illinois",6119
"G1701410","2015-2019","IL",,,"Illinois","17","Ogle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17141",,,"Ogle County, Illinois",146900,"Ogle County, Illinois",3729
"G1701430","2015-2019","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17143",,,"Peoria County, Illinois",129800,"Peoria County, Illinois",2997
"G1701450","2015-2019","IL",,,"Illinois","17","Perry County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17145",,,"Perry County, Illinois",86500,"Perry County, Illinois",4959
"G1701470","2015-2019","IL",,,"Illinois","17","Piatt County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17147",,,"Piatt County, Illinois",138600,"Piatt County, Illinois",7185
"G1701490","2015-2019","IL",,,"Illinois","17","Pike County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17149",,,"Pike County, Illinois",85400,"Pike County, Illinois",4339
"G1701510","2015-2019","IL",,,"Illinois","17","Pope County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17151",,,"Pope County, Illinois",93000,"Pope County, Illinois",19857
"G1701530","2015-2019","IL",,,"Illinois","17","Pulaski County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17153",,,"Pulaski County, Illinois",61300,"Pulaski County, Illinois",6227
"G1701550","2015-2019","IL",,,"Illinois","17","Putnam County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17155",,,"Putnam County, Illinois",126800,"Putnam County, Illinois",7632
"G1701570","2015-2019","IL",,,"Illinois","17","Randolph County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17157",,,"Randolph County, Illinois",110200,"Randolph County, Illinois",4813
"G1701590","2015-2019","IL",,,"Illinois","17","Richland County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17159",,,"Richland County, Illinois",89600,"Richland County, Illinois",5753
"G1701610","2015-2019","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17161",,,"Rock Island County, Illinois",119400,"Rock Island County, Illinois",1812
"G1701630","2015-2019","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17163",,,"St. Clair County, Illinois",128000,"St. Clair County, Illinois",2973
"G1701650","2015-2019","IL",,,"Illinois","17","Saline County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17165",,,"Saline County, Illinois",73800,"Saline County, Illinois",3751
"G1701670","2015-2019","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17167",,,"Sangamon County, Illinois",141200,"Sangamon County, Illinois",2012
"G1701690","2015-2019","IL",,,"Illinois","17","Schuyler County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17169",,,"Schuyler County, Illinois",86600,"Schuyler County, Illinois",8186
"G1701710","2015-2019","IL",,,"Illinois","17","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17171",,,"Scott County, Illinois",89200,"Scott County, Illinois",7414
"G1701730","2015-2019","IL",,,"Illinois","17","Shelby County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17173",,,"Shelby County, Illinois",96500,"Shelby County, Illinois",6944
"G1701750","2015-2019","IL",,,"Illinois","17","Stark County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17175",,,"Stark County, Illinois",87700,"Stark County, Illinois",5967
"G1701770","2015-2019","IL",,,"Illinois","17","Stephenson County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17177",,,"Stephenson County, Illinois",97800,"Stephenson County, Illinois",3289
"G1701790","2015-2019","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17179",,,"Tazewell County, Illinois",142000,"Tazewell County, Illinois",2806
"G1701810","2015-2019","IL",,,"Illinois","17","Union County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17181",,,"Union County, Illinois",109900,"Union County, Illinois",7720
"G1701830","2015-2019","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17183",,,"Vermilion County, Illinois",79900,"Vermilion County, Illinois",2168
"G1701850","2015-2019","IL",,,"Illinois","17","Wabash County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17185",,,"Wabash County, Illinois",82800,"Wabash County, Illinois",3807
"G1701870","2015-2019","IL",,,"Illinois","17","Warren County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17187",,,"Warren County, Illinois",83900,"Warren County, Illinois",2317
"G1701890","2015-2019","IL",,,"Illinois","17","Washington County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17189",,,"Washington County, Illinois",113500,"Washington County, Illinois",3948
"G1701910","2015-2019","IL",,,"Illinois","17","Wayne County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17191",,,"Wayne County, Illinois",86400,"Wayne County, Illinois",4168
"G1701930","2015-2019","IL",,,"Illinois","17","White County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17193",,,"White County, Illinois",71500,"White County, Illinois",3930
"G1701950","2015-2019","IL",,,"Illinois","17","Whiteside County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17195",,,"Whiteside County, Illinois",106700,"Whiteside County, Illinois",3869
"G1701970","2015-2019","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17197",,,"Will County, Illinois",232000,"Will County, Illinois",1465
"G1701990","2015-2019","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17199",,,"Williamson County, Illinois",114900,"Williamson County, Illinois",4190
"G1702010","2015-2019","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17201",,,"Winnebago County, Illinois",120400,"Winnebago County, Illinois",1571
"G1702030","2015-2019","IL",,,"Illinois","17","Woodford County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17203",,,"Woodford County, Illinois",168700,"Woodford County, Illinois",5582
"G1800010","2015-2019","IN",,,"Indiana","18","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18001",,,"Adams County, Indiana",129300,"Adams County, Indiana",6316
"G1800030","2015-2019","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18003",,,"Allen County, Indiana",129300,"Allen County, Indiana",1724
"G1800050","2015-2019","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18005",,,"Bartholomew County, Indiana",153500,"Bartholomew County, Indiana",5053
"G1800070","2015-2019","IN",,,"Indiana","18","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18007",,,"Benton County, Indiana",92500,"Benton County, Indiana",4872
"G1800090","2015-2019","IN",,,"Indiana","18","Blackford County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18009",,,"Blackford County, Indiana",70600,"Blackford County, Indiana",4319
"G1800110","2015-2019","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18011",,,"Boone County, Indiana",233700,"Boone County, Indiana",7176
"G1800130","2015-2019","IN",,,"Indiana","18","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18013",,,"Brown County, Indiana",191700,"Brown County, Indiana",8819
"G1800150","2015-2019","IN",,,"Indiana","18","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18015",,,"Carroll County, Indiana",131700,"Carroll County, Indiana",5381
"G1800170","2015-2019","IN",,,"Indiana","18","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18017",,,"Cass County, Indiana",89300,"Cass County, Indiana",3049
"G1800190","2015-2019","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18019",,,"Clark County, Indiana",142800,"Clark County, Indiana",2921
"G1800210","2015-2019","IN",,,"Indiana","18","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18021",,,"Clay County, Indiana",101400,"Clay County, Indiana",5398
